c = 720537.833271 
error norm = 0.108365 
error norm = 0.076149 
error norm = 0.059087 
error norm = 0.048680 
error norm = 0.041633 
error norm = 0.036503 
error norm = 0.032579 
error norm = 0.029471 
error norm = 0.026942 
error norm = 0.024842 
error norm = 0.023069 
error norm = 0.021551 
error norm = 0.020235 
error norm = 0.019083 
error norm = 0.018065 
error norm = 0.017160 
error norm = 0.016348 
error norm = 0.015617 
error norm = 0.014953 
error norm = 0.014348 
error norm = 0.013795 
error norm = 0.013286 
error norm = 0.012817 
error norm = 0.012383 
error norm = 0.011980 
error norm = 0.011604 
error norm = 0.011254 
error norm = 0.010926 
error norm = 0.010618 
error norm = 0.010329 
error norm = 0.010056 
error norm = 0.009798 
error norm = 0.009555 
error norm = 0.009324 
error norm = 0.009106 
error norm = 0.008898 
error norm = 0.008700 
error norm = 0.008512 
error norm = 0.008332 
error norm = 0.008160 
error norm = 0.007996 
error norm = 0.007839 
error norm = 0.007688 
error norm = 0.007544 
error norm = 0.007405 
error norm = 0.007272 
error norm = 0.007144 
error norm = 0.007021 
error norm = 0.006902 
error norm = 0.006784 
error norm = 0.006827 
error norm = 0.006719 
error norm = 0.006614 
error norm = 0.006513 
error norm = 0.006415 
error norm = 0.006320 
error norm = 0.006229 
error norm = 0.006140 
error norm = 0.006053 
error norm = 0.005970 
error norm = 0.005888 
error norm = 0.005809 
error norm = 0.005733 
error norm = 0.005659 
error norm = 0.005586 
error norm = 0.005516 
error norm = 0.005447 
error norm = 0.005381 
error norm = 0.005316 
error norm = 0.005252 
error norm = 0.005191 
error norm = 0.005131 
error norm = 0.005072 
error norm = 0.005015 
error norm = 0.004959 
error norm = 0.004905 
error norm = 0.004852 
error norm = 0.004800 
error norm = 0.004749 
error norm = 0.004700 
error norm = 0.004651 
error norm = 0.004604 
error norm = 0.004557 
error norm = 0.004512 
error norm = 0.004468 
error norm = 0.004424 
error norm = 0.004381 
error norm = 0.004340 
error norm = 0.004299 
error norm = 0.004259 
error norm = 0.004220 
error norm = 0.004181 
error norm = 0.004143 
error norm = 0.004106 
error norm = 0.004070 
error norm = 0.004035 
error norm = 0.004000 
error norm = 0.003965 
error norm = 0.003932 
error norm = 0.003898 
error norm = 0.148034 
error norm = 0.104521 
error norm = 0.081120 
error norm = 0.066768 
error norm = 0.056994 
error norm = 0.049845 
error norm = 0.044356 
error norm = 0.039991 
error norm = 0.036428 
error norm = 0.033461 
error norm = 0.030949 
error norm = 0.028793 
error norm = 0.026919 
error norm = 0.025276 
error norm = 0.023821 
error norm = 0.022525 
error norm = 0.021363 
error norm = 0.020314 
error norm = 0.019361 
error norm = 0.018491 
error norm = 0.017695 
error norm = 0.016962 
error norm = 0.016285 
error norm = 0.015658 
error norm = 0.015076 
error norm = 0.014536 
error norm = 0.014031 
error norm = 0.013559 
error norm = 0.013117 
error norm = 0.012700 
error norm = 0.012308 
error norm = 0.011937 
error norm = 0.011587 
error norm = 0.011256 
error norm = 0.010942 
error norm = 0.010643 
error norm = 0.010358 
error norm = 0.010091 
error norm = 0.009834 
error norm = 0.009591 
error norm = 0.009358 
error norm = 0.009134 
error norm = 0.008921 
error norm = 0.008716 
error norm = 0.008520 
error norm = 0.008331 
error norm = 0.008150 
error norm = 0.007975 
error norm = 0.007809 
error norm = 0.007647 
error norm = 0.007494 
error norm = 0.007345 
error norm = 0.007201 
error norm = 0.007062 
error norm = 0.006928 
error norm = 0.006799 
error norm = 0.006674 
error norm = 0.006554 
error norm = 0.006437 
error norm = 0.006323 
