c = 720537.833271 
Psi_rr = -0.000000, Psi_rz = 0.000000, D = -0.000000, Psi_zz = 0.000005, Psi_z = -0.000002, Psi_r = 0.000013, dr = 97.286175, dz = -1.260550
Psi_rr = -0.000000, Psi_rz = 0.000000, D = -0.000000, Psi_zz = 0.000005, Psi_z = -0.000002, Psi_r = 0.000014, dr = 44.321207, dz = -0.456941
Psi_rr = -0.000001, Psi_rz = 0.000000, D = -0.000000, Psi_zz = 0.000005, Psi_z = -0.000002, Psi_r = 0.000015, dr = 29.593384, dz = -0.235125
Psi_rr = -0.000001, Psi_rz = 0.000000, D = -0.000000, Psi_zz = 0.000005, Psi_z = -0.000002, Psi_r = 0.000016, dr = 22.697413, dz = -0.132514
Psi_rr = -0.000001, Psi_rz = 0.000000, D = -0.000000, Psi_zz = 0.000005, Psi_z = -0.000002, Psi_r = 0.000017, dr = 18.710475, dz = -0.074213
Psi_rr = -0.000001, Psi_rz = 0.000000, D = -0.000000, Psi_zz = 0.000005, Psi_z = -0.000002, Psi_r = 0.000018, dr = 16.120811, dz = -0.037222
Psi_rr = -0.000001, Psi_rz = 0.000000, D = -0.000000, Psi_zz = 0.000005, Psi_z = -0.000002, Psi_r = 0.000019, dr = 14.309484, dz = -0.012123
Psi_rr = -0.000002, Psi_rz = 0.000000, D = -0.000000, Psi_zz = 0.000005, Psi_z = -0.000002, Psi_r = 0.000020, dr = 12.976052, dz = 0.005655
Psi_rr = -0.000002, Psi_rz = 0.000000, D = -0.000000, Psi_zz = 0.000006, Psi_z = -0.000002, Psi_r = 0.000021, dr = 11.957036, dz = 0.018600
Psi_rr = -0.000002, Psi_rz = 0.000000, D = -0.000000, Psi_zz = 0.000006, Psi_z = -0.000002, Psi_r = 0.000022, dr = 11.155840, dz = 0.028186
Psi_rr = -0.000002, Psi_rz = 0.000000, D = -0.000000, Psi_zz = 0.000006, Psi_z = -0.000002, Psi_r = 0.000024, dr = 10.511710, dz = 0.035337
Psi_rr = -0.000002, Psi_rz = 0.000000, D = -0.000000, Psi_zz = 0.000006, Psi_z = -0.000002, Psi_r = 0.000025, dr = 9.984504, dz = 0.040668
Psi_rr = -0.000003, Psi_rz = 0.000000, D = -0.000000, Psi_zz = 0.000006, Psi_z = -0.000002, Psi_r = 0.000026, dr = 9.546616, dz = 0.044603
Psi_rr = -0.000003, Psi_rz = 0.000001, D = -0.000000, Psi_zz = 0.000007, Psi_z = -0.000001, Psi_r = 0.000027, dr = 8.935273, dz = -0.670798
Psi_rr = -0.000002, Psi_rz = 0.000000, D = -0.000000, Psi_zz = 0.000006, Psi_z = -0.000001, Psi_r = 0.000027, dr = 10.982021, dz = -0.199265
Psi_rr = -0.000003, Psi_rz = 0.000000, D = -0.000000, Psi_zz = 0.000006, Psi_z = -0.000002, Psi_r = 0.000029, dr = 9.811903, dz = -0.025849
Psi_rr = -0.000003, Psi_rz = 0.000000, D = -0.000000, Psi_zz = 0.000006, Psi_z = -0.000002, Psi_r = 0.000030, dr = 9.154083, dz = 0.036722
Psi_rr = -0.000004, Psi_rz = 0.000000, D = -0.000000, Psi_zz = 0.000006, Psi_z = -0.000002, Psi_r = 0.000031, dr = 8.759902, dz = 0.078415
Psi_rr = -0.000004, Psi_rz = 0.000000, D = -0.000000, Psi_zz = 0.000006, Psi_z = -0.000002, Psi_r = 0.000033, dr = 8.467769, dz = 0.079301
Psi_rr = -0.000004, Psi_rz = 0.000000, D = -0.000000, Psi_zz = 0.000006, Psi_z = -0.000002, Psi_r = 0.000034, dr = 8.246708, dz = 0.073668
Psi_rr = -0.000004, Psi_rz = 0.000000, D = -0.000000, Psi_zz = 0.000006, Psi_z = -0.000002, Psi_r = 0.000035, dr = 8.065803, dz = 0.081382
Psi_rr = -0.000005, Psi_rz = 0.000000, D = -0.000000, Psi_zz = 0.000006, Psi_z = -0.000002, Psi_r = 0.000037, dr = 7.904648, dz = 0.069309
Psi_rr = -0.000005, Psi_rz = 0.000000, D = -0.000000, Psi_zz = 0.000006, Psi_z = -0.000002, Psi_r = 0.000038, dr = 7.763998, dz = 0.060780
Psi_rr = -0.000005, Psi_rz = 0.000000, D = -0.000000, Psi_zz = 0.000006, Psi_z = -0.000002, Psi_r = 0.000040, dr = 7.640476, dz = 0.054717
Psi_rr = -0.000005, Psi_rz = 0.000000, D = -0.000000, Psi_zz = 0.000006, Psi_z = -0.000002, Psi_r = 0.000041, dr = 7.528826, dz = 0.055484
Psi_rr = -0.000006, Psi_rz = 0.000000, D = -0.000000, Psi_zz = 0.000006, Psi_z = -0.000002, Psi_r = 0.000043, dr = 7.425123, dz = 0.053185
Psi_rr = -0.000006, Psi_rz = 0.000000, D = -0.000000, Psi_zz = 0.000006, Psi_z = -0.000002, Psi_r = 0.000044, dr = 7.329103, dz = 0.050659
Psi_rr = -0.000006, Psi_rz = 0.000000, D = -0.000000, Psi_zz = 0.000006, Psi_z = -0.000002, Psi_r = 0.000046, dr = 7.239822, dz = 0.048194
Psi_rr = -0.000007, Psi_rz = 0.000000, D = -0.000000, Psi_zz = 0.000006, Psi_z = -0.000002, Psi_r = 0.000047, dr = 7.156234, dz = 0.046243
Psi_rr = -0.000007, Psi_rz = 0.000000, D = -0.000000, Psi_zz = 0.000006, Psi_z = -0.000002, Psi_r = 0.000049, dr = 7.077335, dz = 0.044762
Psi_rr = -0.000007, Psi_rz = 0.000000, D = -0.000000, Psi_zz = 0.000006, Psi_z = -0.000002, Psi_r = 0.000050, dr = 7.001959, dz = 0.044505
Psi_rr = -0.000007, Psi_rz = 0.000000, D = -0.000000, Psi_zz = 0.000006, Psi_z = -0.000002, Psi_r = 0.000052, dr = 6.928202, dz = 0.047266
Psi_rr = -0.000008, Psi_rz = 0.000000, D = -0.000000, Psi_zz = 0.000006, Psi_z = -0.000002, Psi_r = 0.000053, dr = 6.855770, dz = 0.046662
Psi_rr = -0.000008, Psi_rz = 0.000000, D = -0.000000, Psi_zz = 0.000006, Psi_z = -0.000002, Psi_r = 0.000055, dr = 6.784146, dz = 0.046100
Psi_rr = -0.000008, Psi_rz = 0.000000, D = -0.000000, Psi_zz = 0.000006, Psi_z = -0.000002, Psi_r = 0.000056, dr = 6.713005, dz = 0.045777
Psi_rr = -0.000009, Psi_rz = 0.000000, D = -0.000000, Psi_zz = 0.000006, Psi_z = -0.000002, Psi_r = 0.000058, dr = 6.642022, dz = 0.045860
Psi_rr = -0.000009, Psi_rz = 0.000000, D = -0.000000, Psi_zz = 0.000006, Psi_z = -0.000002, Psi_r = 0.000059, dr = 6.570890, dz = 0.046413
Psi_rr = -0.000009, Psi_rz = 0.000000, D = -0.000000, Psi_zz = 0.000006, Psi_z = -0.000002, Psi_r = 0.000061, dr = 6.499303, dz = 0.047609
Psi_rr = -0.000010, Psi_rz = 0.000000, D = -0.000000, Psi_zz = 0.000006, Psi_z = -0.000002, Psi_r = 0.000062, dr = 6.427011, dz = 0.049405
Psi_rr = -0.000010, Psi_rz = 0.000000, D = -0.000000, Psi_zz = 0.000006, Psi_z = -0.000002, Psi_r = 0.000064, dr = 6.353729, dz = 0.052094
Psi_rr = -0.000010, Psi_rz = 0.000000, D = -0.000000, Psi_zz = 0.000006, Psi_z = -0.000002, Psi_r = 0.000066, dr = 6.279322, dz = 0.055487
Psi_rr = -0.000011, Psi_rz = 0.000000, D = -0.000000, Psi_zz = 0.000006, Psi_z = -0.000002, Psi_r = 0.000067, dr = 6.203529, dz = 0.060110
Psi_rr = -0.000011, Psi_rz = 0.000000, D = -0.000000, Psi_zz = 0.000006, Psi_z = -0.000002, Psi_r = 0.000069, dr = 6.126074, dz = 0.063911
Psi_rr = -0.000012, Psi_rz = 0.000000, D = -0.000000, Psi_zz = 0.000006, Psi_z = -0.000002, Psi_r = 0.000070, dr = 6.046983, dz = 0.067894
Psi_rr = -0.000012, Psi_rz = 0.000000, D = -0.000000, Psi_zz = 0.000006, Psi_z = -0.000002, Psi_r = 0.000072, dr = 5.966316, dz = 0.072132
Psi_rr = -0.000012, Psi_rz = 0.000000, D = -0.000000, Psi_zz = 0.000006, Psi_z = -0.000002, Psi_r = 0.000073, dr = 5.884167, dz = 0.076676
Psi_rr = -0.000013, Psi_rz = 0.000000, D = -0.000000, Psi_zz = 0.000006, Psi_z = -0.000003, Psi_r = 0.000074, dr = 5.800638, dz = 0.081556
Psi_rr = -0.000013, Psi_rz = 0.000000, D = -0.000000, Psi_zz = 0.000006, Psi_z = -0.000003, Psi_r = 0.000076, dr = 5.715845, dz = 0.086805
Psi_rr = -0.000014, Psi_rz = 0.000000, D = -0.000000, Psi_zz = 0.000006, Psi_z = -0.000003, Psi_r = 0.000077, dr = 5.629905, dz = 0.092419
Psi_rr = -0.000014, Psi_rz = 0.000000, D = -0.000000, Psi_zz = 0.000007, Psi_z = -0.000003, Psi_r = 0.000079, dr = 5.542939, dz = 0.098385
Psi_rr = -0.000015, Psi_rz = 0.000000, D = -0.000000, Psi_zz = 0.000007, Psi_z = -0.000003, Psi_r = 0.000080, dr = 5.455068, dz = 0.104732
Psi_rr = -0.000015, Psi_rz = 0.000000, D = -0.000000, Psi_zz = 0.000007, Psi_z = -0.000003, Psi_r = 0.000081, dr = 5.366426, dz = 0.111417
Psi_rr = -0.000016, Psi_rz = 0.000000, D = -0.000000, Psi_zz = 0.000007, Psi_z = -0.000003, Psi_r = 0.000083, dr = 5.277142, dz = 0.118405
Psi_rr = -0.000016, Psi_rz = 0.000000, D = -0.000000, Psi_zz = 0.000007, Psi_z = -0.000003, Psi_r = 0.000084, dr = 5.187324, dz = 0.125745
Psi_rr = -0.000017, Psi_rz = 0.000000, D = -0.000000, Psi_zz = 0.000007, Psi_z = -0.000003, Psi_r = 0.000085, dr = 5.097107, dz = 0.133344
Psi_rr = -0.000017, Psi_rz = 0.000000, D = -0.000000, Psi_zz = 0.000007, Psi_z = -0.000003, Psi_r = 0.000086, dr = 5.006595, dz = 0.141244
Psi_rr = -0.000018, Psi_rz = 0.000000, D = -0.000000, Psi_zz = 0.000007, Psi_z = -0.000003, Psi_r = 0.000087, dr = 4.915903, dz = 0.149293
Psi_rr = -0.000018, Psi_rz = 0.000000, D = -0.000000, Psi_zz = 0.000007, Psi_z = -0.000003, Psi_r = 0.000088, dr = 4.825157, dz = 0.157142
Psi_rr = -0.000019, Psi_rz = 0.000000, D = -0.000000, Psi_zz = 0.000007, Psi_z = -0.000003, Psi_r = 0.000090, dr = 4.734477, dz = 0.164945
Psi_rr = -0.000020, Psi_rz = 0.000000, D = -0.000000, Psi_zz = 0.000007, Psi_z = -0.000003, Psi_r = 0.000091, dr = 4.643992, dz = 0.172719
Psi_rr = -0.000020, Psi_rz = 0.000000, D = -0.000000, Psi_zz = 0.000007, Psi_z = -0.000003, Psi_r = 0.000092, dr = 4.553821, dz = 0.180470
Psi_rr = -0.000021, Psi_rz = 0.000000, D = -0.000000, Psi_zz = 0.000007, Psi_z = -0.000003, Psi_r = 0.000093, dr = 4.464079, dz = 0.188204
Psi_rr = -0.000021, Psi_rz = 0.000000, D = -0.000000, Psi_zz = 0.000007, Psi_z = -0.000003, Psi_r = 0.000093, dr = 4.374871, dz = 0.195917
Psi_rr = -0.000022, Psi_rz = 0.000000, D = -0.000000, Psi_zz = 0.000007, Psi_z = -0.000003, Psi_r = 0.000094, dr = 4.286292, dz = 0.203607
Psi_rr = -0.000023, Psi_rz = 0.000000, D = -0.000000, Psi_zz = 0.000007, Psi_z = -0.000003, Psi_r = 0.000095, dr = 4.198431, dz = 0.211265
Psi_rr = -0.000023, Psi_rz = 0.000000, D = -0.000000, Psi_zz = 0.000007, Psi_z = -0.000003, Psi_r = 0.000096, dr = 4.111359, dz = 0.218875
Psi_rr = -0.000024, Psi_rz = 0.000000, D = -0.000000, Psi_zz = 0.000007, Psi_z = -0.000003, Psi_r = 0.000097, dr = 4.040633, dz = 0.225711
Psi_rr = -0.000025, Psi_rz = 0.000000, D = -0.000000, Psi_zz = 0.000007, Psi_z = -0.000003, Psi_r = 0.000098, dr = 3.968109, dz = 0.232614
Psi_rr = -0.000025, Psi_rz = 0.000000, D = -0.000000, Psi_zz = 0.000007, Psi_z = -0.000003, Psi_r = 0.000099, dr = 3.896382, dz = 0.239453
Psi_rr = -0.000026, Psi_rz = 0.000000, D = -0.000000, Psi_zz = 0.000007, Psi_z = -0.000003, Psi_r = 0.000100, dr = 3.825187, dz = 0.246231
Psi_rr = -0.000027, Psi_rz = 0.000000, D = -0.000000, Psi_zz = 0.000007, Psi_z = -0.000003, Psi_r = 0.000101, dr = 3.754648, dz = 0.252933
Psi_rr = -0.000028, Psi_rz = 0.000000, D = -0.000000, Psi_zz = 0.000008, Psi_z = -0.000003, Psi_r = 0.000102, dr = 3.684823, dz = 0.259550
Psi_rr = -0.000029, Psi_rz = 0.000000, D = -0.000000, Psi_zz = 0.000008, Psi_z = -0.000003, Psi_r = 0.000103, dr = 3.615768, dz = 0.266070
Psi_rr = -0.000029, Psi_rz = 0.000000, D = -0.000000, Psi_zz = 0.000008, Psi_z = -0.000003, Psi_r = 0.000104, dr = 3.547527, dz = 0.272489
Psi_rr = -0.000030, Psi_rz = 0.000000, D = -0.000000, Psi_zz = 0.000008, Psi_z = -0.000003, Psi_r = 0.000105, dr = 3.480134, dz = 0.278799
Psi_rr = -0.000031, Psi_rz = 0.000000, D = -0.000000, Psi_zz = 0.000008, Psi_z = -0.000003, Psi_r = 0.000105, dr = 3.413606, dz = 0.284996
Psi_rr = -0.000032, Psi_rz = 0.000000, D = -0.000000, Psi_zz = 0.000008, Psi_z = -0.000003, Psi_r = 0.000106, dr = 3.347954, dz = 0.291075
Psi_rr = -0.000032, Psi_rz = 0.000000, D = -0.000000, Psi_zz = 0.000008, Psi_z = -0.000003, Psi_r = 0.000106, dr = 3.283177, dz = 0.297034
